,datum,mesec,dan,ura,minuta,alt,az
3861,2023-06-10T21:00:00,6,10,21,0,-14.462892361702778,332.17993710225835
3862,2023-06-10T22:00:00,6,10,22,0,-18.79130150746389,346.1191971050139
3863,2023-06-10T23:00:00,6,10,23,0,-19.611786231541668,0.7317812308972222
3864,2023-06-11T00:00:00,6,11,0,0,-17.055615804461112,15.305214472708334
3865,2023-06-11T01:00:00,6,11,1,0,-14.96323100443611,29.144360575880555
3866,2023-06-11T02:00:00,6,11,2,0,-8.956356509297223,41.855416725261115
3867,2023-06-11T03:00:00,6,11,3,0,-0.5755646088499999,53.41076493161667
3868,2023-06-11T04:00:00,6,11,4,0,7.384800887244445,64.04963104841389
3869,2023-06-11T05:00:00,6,11,5,0,17.00998149773333,74.17161205371944
3870,2023-06-11T06:00:00,6,11,6,0,27.128496722858333,84.30769602780555
3871,2023-06-11T07:00:00,6,11,7,0,37.42679070159444,95.19689868239723
3872,2023-06-11T08:00:00,6,11,8,0,47.517225840358336,108.01558031193333
3873,2023-06-11T09:00:00,6,11,9,0,56.756802714308336,124.84627591408888
3874,2023-06-11T10:00:00,6,11,10,0,63.84784612359167,149.01743368215836
3875,2023-06-11T11:00:00,6,11,11,0,66.51087066833611,181.66237209044445
3876,2023-06-11T12:00:00,6,11,12,0,63.323161669497225,213.71791558085556
3877,2023-06-11T13:00:00,6,11,13,0,55.943883419555554,237.04228734431945
3878,2023-06-11T14:00:00,6,11,14,0,46.58398888914445,253.36516590548888
3879,2023-06-11T15:00:00,6,11,15,0,36.45515240836945,265.9305733073556
3880,2023-06-11T16:00:00,6,11,16,0,26.163354417077777,276.70843801425553
3881,2023-06-11T17:00:00,6,11,17,0,16.083814001052776,286.81743196776387
3882,2023-06-11T18:00:00,6,11,18,0,6.528398293147222,296.96959755154995
3883,2023-06-11T19:00:00,6,11,19,0,-1.8233626947805555,307.681394341975
3884,2023-06-11T20:00:00,6,11,20,0,-8.34876538475,319.3389026683111
3885,2023-06-11T21:00:00,6,11,21,0,-14.545095409177778,332.15997909585275
3886,2023-06-11T22:00:00,6,11,22,0,-18.86859915306389,346.0838302518611
3887,2023-06-11T23:00:00,6,11,23,0,-19.681114987555556,0.6812086823611111
3888,2023-06-12T00:00:00,6,12,0,0,-17.114520341058334,15.242241625847221
3889,2023-06-12T01:00:00,6,12,1,0,-13.010661449108333,29.07313199126111
3890,2023-06-12T02:00:00,6,12,2,0,-8.992743250077778,41.779490071375
3891,2023-06-12T03:00:00,6,12,3,0,-0.6023403811055555,53.33203617323889
